id,type,neighborhood,lot_area_m2,internal_area_m2,rooms,suites,bedrooms,parking_spaces,price_brl
379,land,Cyrela Landscape,422.0,0.0,0,0,0,0,350000.0
380,house,Cyrela Landscape,396.75,278.72,1,1,3,4,2250000.0
381,house,Nossa Senhora da Abadia,531.3,403.01,3,1,4,3,950000.0
382,house,Mercês,0.0,110.0,1,1,3,2,680000.0
383,house,Fabrício,264.0,160.05,1,2,3,2,820000.0
384,apartment,Mercês,0.0,156.0,2,3,3,2,1200000.0
385,house,Estância dos Ipês,491.0,258.0,1,3,3,4,2350000.0
386,land,Parque das Laranjeiras,250.0,0.0,0,0,0,0,140000.0
387,house,Conjunto Morada do Sol,432.0,221.0,3,2,3,2,700000.0
388,land,Espanha,998.43,0.0,0,0,0,0,750000.0
389,land,Loteamento Lótus,370.0,0.0,0,0,0,0,400000.0
390,land,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,180000.0
391,land,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,210000.0
392,land,Cyrela Landscape,396.75,0.0,0,0,0,0,380000.0
393,apartment,Fabrício,0.0,78.0,1,1,3,1,370000.0
394,land,Cyrela Landscape II (Residencial Vitória),434.0,0.0,0,0,0,0,325380.0
395,land,Cyrela Landscape II (Residencial Vitória),750.0,0.0,0,0,0,0,562000.0
396,house,Mercês,538.0,300.0,2,1,4,4,850000.0
397,apartment,Parque do Mirante,0.0,100.64,2,1,3,2,930000.0
398,house,Parque do Mirante,675.0,525.0,2,2,4,8,2500000.0
399,house,Estância dos Ipês,600.0,495.0,2,4,4,4,3900000.0
400,house,Nossa Senhora da Abadia,270.0,260.0,3,3,5,5,700000.0
401,apartment,Mercês,0.0,200.0,2,1,3,2,800000.0
402,house,Mercês,900.0,700.0,3,3,4,6,3950000.0
403,house,Residencial Mário de Almeida Franco,486.54,280.0,2,4,4,4,2200000.0
404,apartment,Santa Maria,0.0,263.21,2,3,3,2,1350000.0
405,house,Estados Unidos,1093.5,528.78,3,4,5,2,nan
406,apartment,Fabrício,0.0,78.0,1,1,3,1,320000.0
407,house,Vila Olímpica,300.0,182.0,2,1,3,3,850000.0
408,house,Residencial Mário de Almeida Franco,682.0,250.0,1,3,3,5,1700000.0
409,apartment,Quinta Boa Esperança,0.0,72.0,1,1,2,2,410000.0
410,house,Nossa Senhora da Abadia,460.0,190.0,2,2,4,2,1000000.0
411,house,Quinta Boa Esperança,320.0,312.0,3,2,3,4,1100000.0
412,land,Cidade Jardim,280.0,0.0,0,0,0,0,225000.0
413,land,Recreio dos Bandeirantes,888.0,0.0,0,0,0,0,2100000.0
414,land,Recreio dos Bandeirantes,458.0,0.0,0,0,0,0,900000.0
415,house,Olinda,324.0,250.0,2,3,3,2,850000.0
416,land,Cyrela Landscape,482.2,0.0,0,0,0,0,450000.0
417,house,Nossa Senhora da Abadia,400.0,300.69,2,2,4,4,850000.0
418,house,Jardim do Lago,360.0,277.0,1,4,4,4,1500000.0
419,house,Boa Vista,400.0,260.0,2,2,3,3,1000000.0
420,house,Parque das Laranjeiras,276.93,150.0,1,1,3,3,640000.0
421,apartment,Irmãos Soares,0.0,112.0,2,1,3,1,290000.0
422,land,Damha Residencial Uberaba III,420.32,0.0,0,0,0,0,620000.0
423,land,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,1,200000.0
424,apartment,Mercês,0.0,156.0,2,3,3,2,1200000.0
425,apartment,Estados Unidos,0.0,100.0,1,1,3,2,480000.0
426,house,Parque das Laranjeiras,255.0,252.0,1,3,3,2,650000.0
427,land,Parque das Laranjeiras,250.0,0.0,0,0,0,0,135000.0
428,land,Estância dos Ipês,330.0,0.0,0,0,0,0,380000.0
429,other,Estância dos Ipês,336.0,0.0,0,0,0,0,380000.0
430,house,Jardim Nenê Gomes,250.0,180.0,1,1,3,4,650000.0
431,apartment,Mercês,0.0,180.41,1,1,3,2,580000.0
432,apartment,Santa Maria,0.0,55.0,1,0,2,1,190000.0
433,other,Residencial Estados Unidos,250.0,166.64,2,1,4,2,550000.0
434,apartment,Jardim do Lago,0.0,127.0,1,3,3,2,1350000.0
