id,tipo,bairro,area_lote,area_interna,salas,suites,quartos,vagas,preco
187,casa,Recreio dos Bandeirantes,125.0,100.0,1,2,3,2,350000.0
188,lote,Damha Residencial Uberaba III,384.37,0.0,0,0,0,0,475000.0
189,casa,Santa Maria,336.0,200.0,2,2,4,2,710000.0
190,casa,Jardim do Lago,360.0,215.0,1,2,3,4,1300000.0
191,casa,Parque das Laranjeiras II,250.0,110.0,1,1,2,4,450000.0
192,apartamento,Santa Maria,0.0,78.0,1,1,3,2,430000.0
193,apartamento,Estados Unidos,0.0,55.13,1,0,2,1,250000.0
194,casa,Recreio dos Bandeirantes,125.0,70.0,1,0,3,2,300000.0
195,apartamento,Santa Maria,0.0,90.0,1,1,3,2,480000.0
196,casa,Damha Residencial Uberaba I,414.97,218.0,1,3,4,4,2700000.0
197,casa,Flamboyant II Resid. Park,396.0,191.0,1,2,3,4,1850000.0
198,apartamento,São Sebastião,0.0,69.0,1,2,2,2,580000.0
199,casa,Jardim Nenê Gomes,250.0,91.29,1,1,2,4,360000.0
200,apartamento,Fabrício,0.0,54.0,1,2,2,1,265000.0
201,casa,Boa Vista,534.0,271.05,3,4,5,4,1850000.0
202,casa,Mercês,197.0,92.0,1,1,3,2,460000.0
203,casa,Condomínio Ayat Club Residence,231.83,160.0,1,4,5,2,980000.0
204,casa,Damha Residencial Uberaba I,421.0,210.0,1,3,3,4,3200000.0
205,casa,Mercês,460.6,297.23,3,4,4,4,950000.0
206,terreno,Damha Residencial Uberaba III,390.0,0.0,0,0,0,0,460000.0
207,lote,Cyrela Landscape,409.0,0.0,0,0,0,0,390000.0
208,casa,Damha Residencial Uberaba II,438.75,260.31,1,3,3,4,1950000.0
209,casa,Cyrela Landscape,528.41,554.57,2,6,6,4,2750000.0
210,casa,Mercês,516.0,419.58,2,2,5,4,1800000.0
211,casa,Estância dos Ipês,328.0,200.0,1,1,3,4,1600000.0
212,lote,Residencial Jardins,250.0,0.0,0,0,0,0,290000.0
213,terreno,Parque das Laranjeiras,250.0,0.0,0,0,0,0,135000.0
214,apartamento,Santa Maria,0.0,60.0,1,1,2,1,300000.0
215,casa,Boa Vista,462.5,342.0,2,1,3,2,1100000.0
216,casa,Cyrela Landscape,410.0,330.0,2,4,4,4,2600000.0
217,casa,Cyrela Landscape,406.0,212.0,1,3,3,4,1950000.0
218,terreno,Parque do Mirante,892.8,0.0,0,0,0,0,600000.0
219,casa,Damha Residencial Uberaba III,384.37,327.0,2,5,5,4,3490000.0
220,apartamento,Nossa Senhora da Abadia,0.0,55.0,0,0,0,0,330000.0
221,casa,Mercês,0.0,195.07,2,1,3,2,750000.0
222,casa,Portal Beija Flor,200.0,136.0,1,1,3,2,600000.0
223,casa,Condomínio Ayat Club Residence,231.5,186.25,0,3,3,2,1130000.0
224,apartamento,Santa Maria,0.0,74.0,1,2,2,1,490000.0
225,casa,São Sebastião,0.0,500.0,3,2,5,4,3000000.0
226,apartamento,São Sebastião,0.0,69.0,2,2,2,2,470000.0
227,casa,Damha Residencial Uberaba III,387.54,215.52,1,4,4,4,2450000.0
